Modelo,Accuracy_avg,Precision_avg,Recall_avg,F1_avg,AUC_avg
Random Forest No clustering - GS,0.9959177324285919,0.9344495216690865,0.7128472222222222,0.8087418388895303,0.9977750000354644
XGBoost No clustering - GS,0.9954510674436009,0.9721994164669323,0.6427083333333333,0.7738202351664685,0.9982258696677042
KNN No clustering - GS,0.9958588737818362,0.8894458710636572,0.7513888888888889,0.8145995703508047,0.9586508793139972
AdaBoost No clustering - GS,0.9951315490754988,0.8827718390009682,0.6895833333333333,0.7742492010351392,0.9968201573953495
Gradient Boosting No clustering - GS,0.9956024182495438,0.9654623995943059,0.6604166666666667,0.7843163329387584,0.9974929139347324
Logistic Regression No clustering - GS,0.9937609834439035,0.8855542326830906,0.5565972222222222,0.6835381460921908,0.9916459821061262
Ensemble No clustering - GS,0.9962919052543956,0.9240185692831426,0.7559027777777778,0.8315463236448462,0.9978395110984385
Ensemble 2 No clustering - GS,0.996502114707094,0.9139011152392063,0.7850694444444444,0.8446001262850904,0.9981625052841826
Random Forest 2k - GS,0.9955982140604899,0.9313573842062273,0.6871527777777777,0.7908093639888004,0.9976269985913574
XGBoost 2k - GS,0.9954510674436009,0.9721994164669323,0.6427083333333333,0.7738202351664685,0.9982258696677042
KNN 2k - GS,0.9958588737818362,0.8894458710636572,0.7513888888888889,0.8145995703508047,0.9586508793139972
AdaBoost 2k - GS,0.9951315490754988,0.8827718390009682,0.6895833333333333,0.7742492010351392,0.9968201573953495
Gradient Boosting 2k - GS,0.9956024182495438,0.9654623995943059,0.6604166666666667,0.7843163329387584,0.9974918145410303
Logistic Regression 2k - GS,0.9937357583095797,0.8747835215687005,0.5631944444444444,0.6852075691004553,0.9916692821597481
Ensemble 2k - GS,0.9963129261996654,0.9259806858939288,0.7559027777777778,0.8323404710657833,0.9978674569770598
Ensemble 2 2k - GS,0.9964768895727703,0.9126996108262835,0.7840277777777778,0.8434842126194388,0.9982069317245776
Random Forest 2k Dist - GS,0.9964642770056085,0.919025786223021,0.7763888888888889,0.8417055170908803,0.9980705537090471
XGBoost 2k Dist - GS,0.9948414600307746,0.9677291015324689,0.59375,0.7359255870127368,0.9975824258606716
KNN 2k Dist - GS,0.99588409891616,0.8932622622595205,0.7496527777777777,0.8151731785148926,0.9593765885056851
AdaBoost 2k Dist - GS,0.9942360568070026,0.8841258293382083,0.603125,0.7170111889213013,0.9922659618370893
Gradient Boosting 2k Dist - GS,0.995594009871436,0.9607613707102044,0.6631944444444444,0.7846998999877621,0.997345884803873
Logistic Regression 2k Dist - GS,0.9939753970856562,0.8883033297519631,0.5746527777777778,0.697809406213481,0.9915416520080841
Ensemble 2k Dist - GS,0.9964180309260148,0.9235615577889448,0.7677083333333334,0.8384525781735349,0.9979749197560812
Ensemble 2 2k Dist - GS,0.9966072194334434,0.9111744298169422,0.7975694444444444,0.8505858244791864,0.9982803679729828
Random Forest 5k - GS,0.9959219366176458,0.9344883258817684,0.7131944444444445,0.8089806593324771,0.9977954673770878
XGBoost 5k - GS,0.9954510674436009,0.9721994164669323,0.6427083333333333,0.7738202351664685,0.9982258696677042
KNN 5k - GS,0.9958588737818362,0.8894458710636572,0.7513888888888889,0.8145995703508047,0.9586508793139972
AdaBoost 5k - GS,0.9951315490754988,0.8827718390009682,0.6895833333333333,0.7742492010351392,0.9968201573953495
Gradient Boosting 5k - GS,0.9955982140604898,0.9654466008398594,0.6600694444444444,0.784067320271445,0.997491997773314
Logistic Regression 5k - GS,0.9935507739912048,0.848941038951813,0.5684027777777778,0.6808685114754461,0.9917174308753254
Ensemble 5k - GS,0.9963339471449352,0.9246973032865031,0.7590277777777777,0.8337096799531278,0.9978797246739883
Ensemble 2 5k - GS,0.996531544030472,0.9161539733513214,0.7854166666666667,0.8457611403873485,0.998229275719429
Random Forest 5k Dist - GS,0.996384397413583,0.9115718870721767,0.7767361111111111,0.8387695687040201,0.9980812609762049
XGBoost 5k Dist - GS,0.9949339521899621,0.9686407679413069,0.6010416666666667,0.7417634607183825,0.9977323261232021
KNN 5k Dist - GS,0.9959135282395379,0.8954996159894169,0.75,0.8163102478451401,0.9588769938627824
AdaBoost 5k Dist - GS,0.9942360568070026,0.8841258293382083,0.603125,0.7170111889213013,0.9922763188941566
Gradient Boosting 5k Dist - GS,0.9953964129858991,0.9645897832817338,0.6434027777777778,0.7719041678988076,0.9967748310480131
Logistic Regression 5k Dist - GS,0.9940174389761958,0.9063056034600749,0.5642361111111112,0.6954794858296139,0.9914932964173477
Ensemble 5k Dist - GS,0.9964180309260148,0.9267770078911998,0.7645833333333334,0.8378996805697474,0.9978989433762593
Ensemble 2 5k Dist - GS,0.9965904026772276,0.9120153661677843,0.7951388888888888,0.8495641809450798,0.998256420695649
